[rosmaster.main][INFO] 2020-11-08 08:00:45,549: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-11-08 08:00:45,549: Starting ROS Master Node
[rosmaster.master][INFO] 2020-11-08 08:07:35,833: -PUB [/train/episode] /train_1170_1604822855699 http://luigi:40453/
[rosmaster.master][INFO] 2020-11-08 08:07:35,833: -SERVICE [/train_1170_1604822855699/get_loggers] /train_1170_1604822855699 rosrpc://luigi:44061
[rosmaster.master][INFO] 2020-11-08 08:07:35,833: -SERVICE [/train_1170_1604822855699/set_logger_level] /train_1170_1604822855699 rosrpc://luigi:44061
[rosmaster.master][INFO] 2020-11-08 08:07:35,902: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:40453/']
[rosmaster.master][INFO] 2020-11-08 08:07:35,903: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:40453/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:07:35,904: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []
[rosmaster.master][INFO] 2020-11-08 08:07:35,905: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:18:05,192: +PUB [/rosout] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,194: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:40981/']
[rosmaster.master][INFO] 2020-11-08 08:18:05,196: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:40981/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:18:05,198: +SERVICE [/train_1187_1604823485075/get_loggers] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,199: +SERVICE [/train_1187_1604823485075/set_logger_level] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,203: +SUB [/bev/flow_image] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,205: +SUB [/occupancy_image] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,208: +SUB [/odom] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,211: +SUB [/start_goal] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,212: +PUB [/cmd_vel/train] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,214: +PUB [/train/episode] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,219: -SUB [/bev/flow_image] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,219: -SUB [/occupancy_image] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,219: -SUB [/odom] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,219: -SUB [/start_goal] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,220: -PUB [/rosout] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,220: -PUB [/cmd_vel/train] /train_1187_1604823485075 http://luigi:40981/
[rosmaster.master][INFO] 2020-11-08 08:18:05,220: -PUB [/train/episode] /train_1187_1604823485075 http://luigi:40981/
